,epoch,loss,mae,val_loss,val_mae
0,1,24634.9765625,99.53608703613281,29926.703125,109.0931396484375
1,2,24521.681640625,99.46537017822266,30053.419921875,107.31067657470703
2,3,24625.2265625,99.9386215209961,30047.630859375,107.94955444335938
3,4,24362.79296875,98.99112701416016,29900.5859375,107.88534545898438
4,5,24474.052734375,99.44317626953125,30124.263671875,109.19789123535156
5,6,24319.677734375,98.90410614013672,30233.837890625,109.0396499633789
6,7,23902.3671875,98.09291076660156,30181.33203125,108.78245544433594
7,8,25431.126953125,100.99710845947266,30157.501953125,106.45264434814453
8,9,24063.525390625,98.56871795654297,30157.466796875,107.96060943603516
9,10,24249.6953125,99.09606170654297,30099.90234375,106.84953308105469
10,11,24906.54296875,99.99464416503906,30110.287109375,111.67475128173828
11,12,23945.859375,99.94662475585938,30119.19140625,106.60670471191406
12,13,23929.8671875,98.74079132080078,29956.115234375,108.25891876220703
13,14,25855.267578125,101.52233123779297,29967.357421875,109.21281433105469
14,15,23975.849609375,98.17298889160156,30003.31640625,107.97801208496094
15,16,23604.15625,97.72453308105469,30103.427734375,108.25527954101562
16,17,24886.505859375,100.08085632324219,30047.619140625,110.0166015625
17,18,24278.46484375,99.25318145751953,30130.8671875,107.42835998535156
18,19,23757.791015625,97.83833312988281,30221.07421875,106.01105499267578
19,20,23964.453125,98.54080200195312,30229.5703125,107.15393829345703
20,21,26233.736328125,103.39384460449219,30013.685546875,109.7384262084961
21,22,23412.21484375,97.33393859863281,30027.171875,110.17642211914062
22,23,24853.78125,99.90565490722656,29953.9921875,109.35179901123047
23,24,23835.802734375,99.05211639404297,30117.439453125,109.12853240966797
24,25,24619.61328125,99.75457000732422,30246.556640625,110.55557250976562
25,26,23738.15625,98.13399505615234,30082.923828125,108.64067077636719
26,27,24456.6484375,98.63106536865234,30341.55078125,107.12117004394531
27,28,24450.28125,99.75753784179688,30046.97265625,109.3284683227539
28,29,24248.283203125,99.16909790039062,30354.345703125,108.73672485351562
29,30,24031.384765625,97.98785400390625,30200.26171875,107.0689697265625
30,31,24727.884765625,99.81307983398438,30121.087890625,109.37776184082031
31,32,23958.099609375,98.03115844726562,30194.771484375,107.33285522460938
32,33,24025.275390625,98.59883117675781,30048.7109375,109.13163757324219
33,34,24508.38671875,99.27027893066406,30295.880859375,111.69058227539062
34,35,23975.521484375,98.8255844116211,30338.0,112.35680389404297
35,36,24200.140625,98.76586151123047,30544.037109375,109.73929595947266
36,37,24049.45703125,98.53301239013672,30873.3046875,115.50430297851562
37,38,24300.046875,99.75736236572266,30567.640625,107.89106750488281
38,39,24136.771484375,98.24097442626953,30291.9609375,109.27394104003906
39,40,24070.119140625,98.19143676757812,30397.90625,113.07975006103516
40,41,24150.328125,98.98628997802734,30039.82421875,108.00852966308594
41,42,24239.5625,98.89207458496094,30170.64453125,108.75723266601562
42,43,24272.677734375,98.8492202758789,29975.728515625,107.66278839111328
43,44,23919.970703125,98.07563781738281,29893.712890625,108.76323699951172
44,45,24501.2734375,99.56417083740234,30043.044921875,108.49878692626953
45,46,24007.572265625,98.6521224975586,30259.736328125,107.23831939697266
46,47,24108.37890625,98.72906494140625,30011.876953125,108.32221984863281
47,48,24233.306640625,98.98219299316406,30076.5859375,109.04508972167969
48,49,22987.2109375,96.52262115478516,30331.884765625,109.26481628417969
49,50,24926.919921875,101.32320404052734,30457.1328125,109.16534423828125
50,51,24265.599609375,98.73419189453125,30025.736328125,108.03195190429688
51,52,24530.955078125,99.59532928466797,29982.388671875,108.00210571289062
52,53,23320.4921875,96.69953918457031,30329.099609375,106.37495422363281
53,54,24242.421875,99.12933349609375,30064.17578125,109.60208129882812
54,55,23476.138671875,97.6171646118164,30017.6875,107.40660858154297
55,56,24407.626953125,99.09527587890625,30166.49609375,110.85543823242188
