,epoch,loss,mae,val_loss,val_mae
0,1,210184.8125,278.07745361328125,193159.515625,268.28631591796875
1,2,131878.625,227.09423828125,85597.28125,187.65185546875
2,3,62481.8515625,160.8825225830078,49542.1015625,145.84698486328125
3,4,35578.328125,122.6401138305664,29207.05078125,108.6791763305664
4,5,25463.458984375,102.4554672241211,24019.55078125,97.56930541992188
5,6,22202.900390625,95.47270202636719,22023.80078125,93.54940795898438
6,7,20584.8671875,92.11869049072266,20588.130859375,90.60807800292969
7,8,19576.5390625,89.11469268798828,19440.271484375,86.0223617553711
8,9,17952.033203125,83.67554473876953,18374.158203125,81.02591705322266
9,10,17653.7265625,81.24396514892578,17392.310546875,76.86573028564453
10,11,16129.3212890625,76.12625122070312,16585.890625,74.57823181152344
11,12,15422.9765625,73.91663360595703,15901.9072265625,72.48991394042969
12,13,15089.03125,71.28515625,15414.6279296875,70.86250305175781
13,14,14335.548828125,68.85116577148438,15104.009765625,68.14836120605469
14,15,14253.275390625,67.0557861328125,14686.875,66.32923126220703
15,16,13433.5341796875,64.82012176513672,14299.3720703125,64.5164794921875
16,17,13746.296875,64.09607696533203,14103.599609375,63.16256332397461
17,18,13313.1328125,62.14167022705078,13881.6025390625,61.974029541015625
18,19,13197.21875,61.243038177490234,13747.78125,60.06071472167969
19,20,12447.4638671875,59.09023666381836,13553.7587890625,59.966796875
20,21,12949.8583984375,59.46915054321289,13440.017578125,58.67316436767578
21,22,12552.2294921875,57.54921340942383,13299.66015625,57.891845703125
22,23,12505.78515625,57.295658111572266,13189.8603515625,58.971595764160156
23,24,12300.91796875,56.89934158325195,13118.6875,56.0332145690918
24,25,12153.5986328125,55.79367446899414,12983.365234375,56.94827651977539
25,26,12369.81640625,55.42573928833008,12877.603515625,56.29743194580078
26,27,11802.83203125,55.20155334472656,12816.4248046875,56.286739349365234
27,28,12092.7490234375,54.78257751464844,12687.7763671875,54.15174865722656
28,29,12063.8369140625,54.31369400024414,12646.5595703125,53.370880126953125
29,30,11459.7275390625,53.171974182128906,12627.962890625,53.158817291259766
30,31,12276.5263671875,54.46250915527344,12524.134765625,55.31026840209961
31,32,11772.994140625,53.86868667602539,12422.146484375,55.27777862548828
32,33,11450.142578125,52.92085266113281,12325.4404296875,52.70234680175781
33,34,11827.0537109375,52.93916320800781,12341.2138671875,53.5594482421875
34,35,11552.91796875,52.61195373535156,12289.41015625,53.0073127746582
35,36,11152.7734375,50.64213943481445,12184.9189453125,53.36200714111328
36,37,11500.423828125,52.177528381347656,12154.3251953125,53.331478118896484
37,38,11575.2197265625,52.21590042114258,12140.650390625,51.91688919067383
38,39,10995.8896484375,50.609901428222656,12251.8076171875,50.91023254394531
39,40,11977.419921875,52.23944854736328,12108.072265625,52.674434661865234
40,41,10809.693359375,49.94013977050781,12060.15234375,52.097469329833984
41,42,11379.4462890625,50.6237678527832,11981.4814453125,51.647361755371094
42,43,11351.8916015625,51.2080192565918,11919.5595703125,51.278160095214844
43,44,11118.7333984375,50.00810623168945,11951.21484375,50.837703704833984
44,45,11121.3271484375,49.725250244140625,11876.8359375,51.22669982910156
45,46,10662.3544921875,49.387413024902344,11972.755859375,50.05686569213867
46,47,11648.0400390625,51.2674560546875,12036.9404296875,49.80989074707031
47,48,11176.82421875,50.408355712890625,11960.9970703125,50.223388671875
48,49,11005.85546875,49.350990295410156,11844.06640625,51.072452545166016
49,50,10758.9189453125,48.79581832885742,11832.9296875,49.16456985473633
50,51,11197.2265625,49.82365417480469,11775.7451171875,50.618553161621094
51,52,11232.4599609375,49.7336311340332,11818.69140625,50.06889724731445
52,53,10881.501953125,48.75041580200195,11763.8408203125,50.341941833496094
53,54,10529.95703125,48.05021667480469,11866.1201171875,50.779754638671875
54,55,11453.55078125,49.96149444580078,11882.1728515625,51.80402374267578
55,56,10488.6845703125,48.16513442993164,11821.375,51.77167510986328
56,57,11257.2607421875,49.383750915527344,11760.6865234375,51.44721603393555
57,58,10765.365234375,48.43586349487305,11788.6796875,47.892635345458984
58,59,10824.0263671875,48.47513961791992,11747.275390625,51.923133850097656
59,60,10924.53515625,48.82083511352539,11665.888671875,48.887428283691406
60,61,10946.2763671875,48.707855224609375,11638.642578125,50.2752571105957
61,62,10752.953125,48.169090270996094,11698.46484375,50.89387512207031
62,63,10770.9560546875,48.23946762084961,11601.4052734375,48.111087799072266
63,64,10892.4892578125,48.230621337890625,11657.490234375,49.43452453613281
64,65,10691.5166015625,48.07859802246094,11591.607421875,48.13325119018555
65,66,10821.1640625,48.27266311645508,11641.7841796875,49.70442199707031
66,67,10729.9931640625,47.937625885009766,11782.072265625,49.105735778808594
67,68,10961.51953125,48.58060073852539,11662.6064453125,50.9634895324707
68,69,10561.9482421875,47.54229736328125,11594.5947265625,47.39999008178711
69,70,10810.8974609375,48.1080436706543,11600.818359375,48.586368560791016
70,71,10589.9296875,47.089202880859375,11641.78125,48.278526306152344
71,72,10923.8037109375,47.9931640625,11526.7890625,48.226654052734375
72,73,10725.4736328125,47.06040954589844,11567.60546875,47.60663604736328
73,74,10458.0048828125,47.279563903808594,11617.0810546875,49.87126541137695
74,75,10622.828125,47.143131256103516,11598.3154296875,47.201759338378906
75,76,10573.005859375,47.30868148803711,11559.263671875,47.40620040893555
76,77,10556.9306640625,47.38804244995117,11605.2763671875,48.118465423583984
77,78,10575.81640625,46.79946517944336,11566.2626953125,47.993080139160156
78,79,10670.640625,47.437744140625,11499.3310546875,49.08561706542969
79,80,10791.24609375,47.795528411865234,11630.5654296875,50.0002555847168
