,epoch,loss,mae,val_loss,val_mae
0,1,207245.171875,275.9703369140625,191963.21875,273.3052062988281
1,2,124860.46875,223.82887268066406,81857.1953125,188.2234344482422
2,3,62081.66796875,163.18075561523438,45636.8984375,141.09585571289062
3,4,33162.44921875,115.33570861816406,25775.634765625,100.76587677001953
4,5,23496.490234375,95.15773010253906,21405.537109375,92.27510070800781
5,6,20333.2578125,89.92741394042969,19451.4375,88.0488052368164
6,7,19376.5546875,88.53141021728516,18131.8984375,84.95294952392578
7,8,17968.408203125,83.9604721069336,17018.9609375,81.21687316894531
8,9,17447.4296875,82.08317565917969,16284.6689453125,79.05328369140625
9,10,16187.8759765625,78.25340270996094,15629.7021484375,76.50830841064453
10,11,16465.728515625,77.8671646118164,14963.458984375,73.75819396972656
11,12,15677.5849609375,74.88480377197266,14474.7001953125,72.08003234863281
12,13,15228.2236328125,73.03528594970703,14022.4091796875,70.43559265136719
13,14,14744.0927734375,71.23234558105469,13620.9404296875,68.56361389160156
14,15,14357.484375,70.33168029785156,13213.7099609375,66.30007934570312
15,16,14505.0625,68.87858581542969,12863.53515625,65.0274658203125
16,17,14071.384765625,67.1657943725586,12589.2490234375,64.28636169433594
17,18,13742.283203125,66.23856353759766,12383.60546875,62.94816589355469
18,19,13638.2421875,64.69496154785156,12193.8310546875,61.65132141113281
19,20,13004.673828125,63.26333236694336,11967.0625,61.353309631347656
20,21,13199.990234375,62.20599365234375,11710.7021484375,59.37142562866211
21,22,12966.8125,61.33240509033203,11661.8740234375,59.14352035522461
22,23,12862.2626953125,61.21531295776367,11476.5810546875,58.44874954223633
23,24,12582.5673828125,59.709354400634766,11397.2890625,58.120399475097656
24,25,12845.7890625,59.40095901489258,11222.2587890625,56.227909088134766
25,26,12183.1669921875,57.77293014526367,11105.0625,55.221351623535156
26,27,13195.7275390625,59.32440948486328,11057.4697265625,55.596134185791016
27,28,12253.9892578125,56.64596176147461,11066.0751953125,55.03446960449219
28,29,12224.8701171875,56.74947738647461,10907.4248046875,54.431156158447266
29,30,12260.466796875,56.36407470703125,10841.947265625,53.995819091796875
30,31,12152.1396484375,55.36521911621094,10757.2841796875,52.32126998901367
31,32,12078.52734375,55.72503662109375,10850.8310546875,54.68840789794922
32,33,11458.0537109375,53.78369140625,10602.84375,52.52167510986328
33,34,12358.5400390625,55.02043914794922,10594.20703125,52.47548294067383
34,35,11552.3173828125,54.121429443359375,10786.423828125,55.84641647338867
